n_elements,n_archetypes,model,device,time
100,5,BiAA,cpu,34.63077759742737
100,5,BiAA (gradient-based),cpu,9.560514211654663
100,5,BiAA (gradient-based),cuda,16.790793895721436
500,5,BiAA,cpu,45.38257908821106
500,5,BiAA (gradient-based),cpu,9.486265659332275
500,5,BiAA (gradient-based),cuda,17.061784505844116
1000,5,BiAA,cpu,56.690181732177734
1000,5,BiAA (gradient-based),cpu,9.542435646057129
1000,5,BiAA (gradient-based),cuda,16.86853289604187
5000,5,BiAA,cpu,105.10297346115112
5000,5,BiAA (gradient-based),cpu,10.746930599212646
5000,5,BiAA (gradient-based),cuda,16.74684762954712
10000,5,BiAA,cpu,271.06216263771057
10000,5,BiAA (gradient-based),cpu,11.584739685058594
10000,5,BiAA (gradient-based),cuda,16.668492078781128
50000,5,BiAA (gradient-based),cpu,14.773390769958496
50000,5,BiAA (gradient-based),cuda,16.917450428009033
100000,5,BiAA (gradient-based),cpu,18.04518175125122
100000,5,BiAA (gradient-based),cuda,16.710888624191284
500000,5,BiAA (gradient-based),cpu,61.729671478271484
500000,5,BiAA (gradient-based),cuda,17.68458080291748
1000000,5,BiAA (gradient-based),cpu,147.85404348373413
1000000,5,BiAA (gradient-based),cuda,18.051698207855225
100,10,BiAA,cpu,38.6639404296875
100,10,BiAA (gradient-based),cpu,9.222050189971924
100,10,BiAA (gradient-based),cuda,16.188900232315063
500,10,BiAA,cpu,53.160253047943115
500,10,BiAA (gradient-based),cpu,9.501592874526978
500,10,BiAA (gradient-based),cuda,16.929807662963867
1000,10,BiAA,cpu,64.74549770355225
1000,10,BiAA (gradient-based),cpu,9.562568426132202
1000,10,BiAA (gradient-based),cuda,16.996515035629272
5000,10,BiAA,cpu,143.20450043678284
5000,10,BiAA (gradient-based),cpu,10.832651853561401
5000,10,BiAA (gradient-based),cuda,16.677983283996582
10000,10,BiAA,cpu,382.03980135917664
10000,10,BiAA (gradient-based),cpu,11.46609377861023
10000,10,BiAA (gradient-based),cuda,16.047781705856323
50000,10,BiAA (gradient-based),cpu,13.970896482467651
50000,10,BiAA (gradient-based),cuda,16.18533492088318
100000,10,BiAA (gradient-based),cpu,17.355571746826172
100000,10,BiAA (gradient-based),cuda,16.19159698486328
500000,10,BiAA (gradient-based),cpu,59.27175998687744
500000,10,BiAA (gradient-based),cuda,17.423346042633057
1000000,10,BiAA (gradient-based),cpu,147.80922651290894
1000000,10,BiAA (gradient-based),cuda,17.335639238357544
5000,50,BiAA,cpu,531.9373216629028
5000,50,BiAA (gradient-based),cpu,11.472709894180298
5000,50,BiAA (gradient-based),cuda,16.686787366867065
10000,50,BiAA,cpu,804.8924443721771
10000,50,BiAA (gradient-based),cpu,12.450613021850586
10000,50,BiAA (gradient-based),cuda,16.208609580993652
50000,50,BiAA (gradient-based),cpu,16.559684991836548
50000,50,BiAA (gradient-based),cuda,16.90299654006958
100000,50,BiAA (gradient-based),cpu,21.27801489830017
100000,50,BiAA (gradient-based),cuda,16.95847797393799
500000,50,BiAA (gradient-based),cpu,71.54375267028809
500000,50,BiAA (gradient-based),cuda,17.38796067237854
1000000,50,BiAA (gradient-based),cpu,171.39762043952942
1000000,50,BiAA (gradient-based),cuda,17.771404027938843
10000,100,BiAA,cpu,1826.9960250854492
10000,100,BiAA (gradient-based),cpu,13.642569065093994
10000,100,BiAA (gradient-based),cuda,17.09881329536438
50000,100,BiAA (gradient-based),cpu,19.95678186416626
50000,100,BiAA (gradient-based),cuda,16.874061107635498
100000,100,BiAA (gradient-based),cpu,25.157697677612305
100000,100,BiAA (gradient-based),cuda,16.47542095184326
500000,100,BiAA (gradient-based),cpu,86.21925401687622
500000,100,BiAA (gradient-based),cuda,22.34002995491028
1000000,100,BiAA (gradient-based),cpu,191.9597840309143
1000000,100,BiAA (gradient-based),cuda,32.408780097961426
